id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
6648e9264880fad56eebf485,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_6648e9264880fad56eebf485_T2_2024-07-30_17h28.48.317.csv,0.769498694698728,0.8,0.505210196392434,1,1,0,1.56710629072279,2,11.6824608881358,4,4,0.294110670210544,0.5,0.438955401841397,0.5,0.301738137863899,0.5,0.364134403042114,0.2,1,0.555992008518892,0.950402010054223,0.666666666666667,1,73,0.0600858369098712,0.380952380952381,0.375,73,-300.282275800993,3
664a0cc1ee0b6791cd3c7b55,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664a0cc1ee0b6791cd3c7b55_T1_2024-07-18_05h37.34.593.csv,0.531292385511184,0.8,1.53359785533621,1,1,0,1.33494397352985,2,3.65027377152608,4,4,0.171725511154268,0.5,0.565136080901022,0.5,0.237805385874821,0.5,0.377132410732851,0.2,1,0.625002549026074,0.824306615479047,0.752777777777778,0.915254237288136,59,0.0398230088495575,0.421052631578947,0.307692307692308,59,-273.371146781169,3
664a910980871d3cd7944412,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664a910980871d3cd7944412_T2_2024-07-23_21h02.04.910.csv,0.60121145024675,0.8,1.22233786480755,1,1,0,1.57147531681452,2,2.20954786898511,4,4,0.0651067877022227,0.5,0.295019478654188,0.5,0.147254187060584,0.5,0.123888678399335,0.2,1,0.450665545945087,0.883834875103159,0.569444444444444,0.938650306748466,163,0.143478260869565,0.27906976744186,0.75,163,-391.394112959734,3
664b31793e9619258b204011,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b31793e9619258b204011_T2_2024-07-11_08h19.45.850.csv,0.499230425398236,0.8,0.565386331887712,1,1,0,0.922158122916076,2,13.4664754664449,4,4,0.550834947219618,0.5,0.632980507544697,0.5,0.285447927816442,0.5,0.646780119800813,0.2,1,0.79525140853442,0.529626058284939,0.897222222222222,0.5,12,0.0394736842105263,0.152671755725191,0.333333333333333,12,-162.529529786765,3
664b3b0db7eb225f6d56922c,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b3b0db7eb225f6d56922c_T1_2024-07-05_17h26.55.575.csv,0.569207432795744,0.8,2.63412835135121,1,1,0,0.944117870709394,2,1.08487397834329,4,4,0.10017804281737,0.5,0.502106458394418,0.5,0.125458434629544,0.5,0.512652360625742,0.2,1,0.663383097113728,0.92308611572380606,0.752777777777778,0.945945945945946,222,0.0454545454545455,0.230769230769231,0.775510204081633,222,-270.214924270241,3
664b4af989da4c25d181f27e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b4af989da4c25d181f27e_T1_2024-06-10_20h36.05.030.csv,0.56488825605094,0.8,1.78211177198271,1,1,0,0.981414440926329,2,0.624936458805361,4,4,0.110147268532667,0.5,0.347802249026242,0.5,0.0862323426796244,0.5,0.290239115892176,0.2,1,0.507385708174713,0.803906750783304,0.602777777777778,0.854625550660793,227,0.106194690265487,0.12781954887218,0.704545454545455,227,-401.777235072987,3
664b550820b57425a150d8e2,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b550820b57425a150d8e2_T1_2024-07-03_20h53.22.257.csv,0.571770536352219,0.8,2.31868187744652,1,1,0,0.896680189061318,2,2.82225508941704,4,4,0.0457740494826815,0.5,0.45953159141409,0.5,0.088279991546576,0.5,0.530268841927263,0.2,1,0.5778100722528,0.940674298019821,0.677777777777778,0.967213114754098,183,0.2,0.141791044776119,0.807692307692308,183,-316.652775916612,3
664b56924fe53a254403f774,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b56924fe53a254403f774_T1_2024-07-07_18h53.24.649.csv,0.549434942067525,0.8,0.568707147139694,1,1,0,1.78246883723751,2,1.66514967116878,4,4,0.613351323490081,0.5,0.776121815731073,0.5,0.0844372808184571,0.5,0.544968579200501,0.2,1,0.472126268090344,0.609948108577699,0.597222222222222,0.761904761904762,126,0.142156862745098,0.167741935483871,0.757575757575758,126,-415.140257388519,3
664b66162c93f4cb8d9224a6,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664b66162c93f4cb8d9224a6_T1_2024-07-12_15h10.32.270.csv,0.649795499623232,0.8,1.1482228800516,1,1,0,1.31926563113495,2,9.93620563312002,4,4,0.167686196753635,0.5,0.277349209297345,0.5,0.321863388506366,0.5,0.385624755536237,0.2,1,0.711019014760233,0.893499950163635,0.813888888888889,0.925925925925926,27,0.00465116279069767,0.611111111111111,0.1,27,-208.823541809164,3
664bf2201abae3378784ee1a,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664bf2201abae3378784ee1a_T2_2024-06-22_08h49.15.047.csv,0.54732521254526,0.8,1.83619275880815,1,1,0,1.1811721802202,2,3.9037823679795,4,4,0.0424708106472859,0.5,0.57274306609935,0.5,0.100288686329517,0.5,0.537551856494274,0.2,1,0.578967680345484,0.931414201818843,0.669444444444444,0.961290322580645,155,0.149122807017544,0.389312977099237,0.84,155,-310.024611213821,3
664c3cfeeccf0399b4110f7d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664c3cfeeccf0399b4110f7d_T2_2024-07-05_21h17.28.285.csv,0.573864375901539,0.8,2.04258719863485,1,1,0,1.04852548396128,2,2.10555450396339,4,4,0.162872881993614,0.5,0.468840686049673,0.5,0.176440661563284,0.5,0.165238689994664,0.2,1,0.554043019614535,0.941591582053684,0.633333333333333,0.978102189781022,137,0.0468085106382979,0.225806451612903,0.740740740740741,137,-301.437826847428,3
664cf905de6ca38cfad9e5d4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664cf905de6ca38cfad9e5d4_T2_2024-07-19_13h21.12.589.csv,0.591778114172515,0.8,3.64952447696625,1,1,0,1.1103408343594,2,3.14900480896572,4,4,0.0722693137512198,0.5,0.56220810598029,0.5,0.12333319111986,0.5,0.609094282752726,0.2,1,0.763757574276087,0.996071000612297,0.836111111111111,1,181,0,0.355371900826446,0.765957446808511,181,-185.111009515031,3
664d0be31a585c224f0aa15d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_664d0be31a585c224f0aa15d_T2_2024-07-26_17h04.40.494.csv,0.319800729468755,0.8,0.720029414027721,1,1,0,0.970092087577381,2,9.43083973473755,4,4,0.216076837566154,0.5,0.636701027784801,0.5,0.376075118882114,0.5,0.283350885168778,0.2,1,0.68909039739992,0.18679970141368,0.788888888888889,0,4,0.0533980582524272,0.444444444444444,1,4,-205.435432113361,3
