id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a_win,prior_eta_a_win,posterior_eta_a_loss,prior_eta_a_loss,posterior_omega_d,prior_omega_d,posterior_omega_a_posi,prior_omega_a_posi,posterior_omega_a_nega,prior_omega_a_nega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
565bff58c121fe0005fc390d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_565bff58c121fe0005fc390d_T1_2024-06-05_18h02.19.834.csv,0.547417559058647,0.8,2.65283611886409,1,1,0,1.10558178611779,2,2.7570872996184,4,4,0.0990627714330372,0.5,0.475963756525117,0.5,0.104925908766584,0.5,0.429191071491268,0.2,0.551470679007488,0.2,0.158675138154941,0.2,1,0.668501450026122,0.946259073579494,0.786111111111111,0.983606557377049,122,0.0657894736842105,0.290076335877863,0.791666666666667,122,-252.792220728281,3
56780a5a89319e0011644cb4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56780a5a89319e0011644cb4_T1_2024-05-18_13h28.25.633.csv,0.263856483269382,0.8,0.359567161119587,1,1,0,0.788263639987869,2,15.1705903037893,4,4,0.30333678383337,0.5,0.387764681237863,0.5,0.454633062439463,0.5,0.0277297069952788,0.2,0.254034753784957,0.2,0.177740936274688,0.2,1,0.633843415076293,0.236031898745573,0.722222222222222,0.111111111111111,9,0.0423280423280423,0.611764705882353,0.6,9,-256.473930090479,3
567dd32b4f0ef30006dbb718,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_567dd32b4f0ef30006dbb718_T1_2024-05-08_18h14.49.126.csv,0.566781378572149,0.8,2.82160472869207,1,1,0,1.05799524917882,2,1.23495604452813,4,4,0.179221798294214,0.5,0.45580111356145,0.5,0.184074139859597,0.5,0.55365383044481,0.2,0.168600293038438,0.2,0.176783116085212,0.2,1,0.682400070848492,0.942939419207946,0.786111111111111,0.955414012738854,157,0.00790513833992095,0.283018867924528,0.741935483870968,157,-236.883827061467,3
5685850c333cbd000d4e042f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5685850c333cbd000d4e042f_T2_2024-06-12_11h23.31.372.csv,0.565540547964943,0.8,2.97999061921712,1,1,0,1.24952873078222,2,2.54416042289818,4,4,0.0743170468396634,0.5,0.308455546797057,0.5,0.139826515096416,0.5,0.415159521407126,0.2,0.295691888208924,0.2,0.157962654886429,0.2,1,0.691932135333295,0.958837734511645,0.775,0.974789915966387,119,0.0493827160493827,0.508620689655172,0.68,119,-232.093055631766,3
568d0641b5a2c2000cb657d0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_568d0641b5a2c2000cb657d0_T2_2024-07-30_10h18.26.647.csv,0.604207942671293,0.8,2.04573081307632,1,1,0,1.34874995984073,2,1.2081124315028,4,4,0.159609770639611,0.5,0.435727902579522,0.5,0.137198506308912,0.5,0.413134853662928,0.2,0.42396272982101,0.2,0.0839784441074998,0.2,1,0.614419520775276,0.934925518212896,0.738888888888889,0.964646464646465,198,0.0493827160493827,0.241379310344828,0.595238095238095,198,-294.833111965319,3
5694e7b5e0c800000b5a3841,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5694e7b5e0c800000b5a3841_T1_2024-05-18_15h29.08.146.csv,0.552689858826171,0.8,4.46572296629765,1,1,0,1.18268976854219,2,2.06521892590829,4,4,0.0885646459423459,0.5,0.376926790948816,0.5,0.131209252299697,0.5,0.221906267797999,0.2,0.405599920379523,0.2,0.210680626033096,0.2,1,0.779130092518108,0.972480312877118,0.869444444444444,0.98780487804878,164,0.00869565217391304,0.48062015503876,0.756756756756757,164,-185.398638729928,3
56b72c28f2fc70000c32fb37,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56b72c28f2fc70000c32fb37_T1_2024-05-18_23h22.33.370.csv,0.611587338549232,0.8,1.99111353277829,1,1,0,1.38155120436886,2,1.15720612793907,4,4,0.143188314846791,0.5,0.445415970648822,0.5,0.122917191972039,0.5,0.249356804995382,0.2,0.421765634591711,0.2,0.191684842114168,0.2,1,0.619393070752213,0.928507591914249,0.725,0.95852534562212,217,0,0.3,0.888888888888889,217,-288.937451028986,3
56e225c2ec0fdd000641e72d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56e225c2ec0fdd000641e72d_T2_2024-06-20_23h23.44.100.csv,0.681082386302404,0.8,0.659706360340837,1,1,0,1.4474248090431,2,4.66834705758834,4,4,0.456770110264792,0.5,0.658517289140319,0.5,0.382960670229349,0.5,0.499650582946198,0.2,0.368016444427055,0.2,0.111871222803068,0.2,1,0.526895481069348,0.807303232014777,0.636111111111111,0.919540229885057,87,0.0737327188940092,0.197183098591549,0.272727272727273,87,-335.498418238377,3
56e8bf5a870a8e000b4a8d6e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56e8bf5a870a8e000b4a8d6e_T1_2024-04-04_13h13.34.155.csv,0.66944945735549,0.8,1.56006893619103,1,1,0,1.18408344397956,2,1.85344636853959,4,4,0.272415385839244,0.5,0.39276709700494,0.5,0.149510308688975,0.5,0.233902969058175,0.2,0.376089524214235,0.2,0.184241288281294,0.2,1,0.546636880481494,0.875507856117182,0.661111111111111,0.922077922077922,154,0.00458715596330275,0.276595744680851,0.695652173913043,154,-324.281426625516,3
56ec9fa4f9ffc4000ac1941b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56ec9fa4f9ffc4000ac1941b_T2_2024-06-20_16h41.00.309.csv,0.61498015479602,0.8,3.28907486563458,1,1,0,0.98150700775515,2,0.404124703236928,4,4,0.206879687137004,0.5,0.440545732947863,0.5,0.186933187892058,0.5,0.536902410703544,0.2,0.423609171240966,0.2,0.0943437529144299,0.2,1,0.760032407225038,0.956571950363585,0.861111111111111,0.965250965250965,259,0.00387596899224806,0.108910891089109,0.767857142857143,259,-209.991385968058,3
