id,has_practice_effects,file,posterior_p_a,prior_p_a,posterior_inv_temp,prior_inv_temp,fixed_state_exploration,fixed_parameter_exploration,posterior_Rsensitivity,prior_Rsensitivity,posterior_reward_value,prior_reward_value,fixed_l_loss_value,posterior_eta_d,prior_eta_d,posterior_eta_a,prior_eta_a,posterior_omega,prior_omega,fixed_lamgda,avg_act_prob_time1,avg_act_prob_time2,avg_model_acc_time1,avg_model_acc_time2,times_chosen_advisor,percent_win_choose_other,percent_lose_choose_same,percent_choose_advisor_after_bad_advice,time_advisor_chosen,F,modelAIorRL
565bff58c121fe0005fc390d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_565bff58c121fe0005fc390d_T1_2024-06-05_18h02.19.834.csv,0.85635430076922,0.8,0.746283551043236,1,1,0,2.05781948357849,2,15.0816163642838,4,4,0.0633616340474495,0.5,0.211150824743678,0.5,0.569810748156229,0.2,1,0.597521602584593,0.882367164320341,0.719444444444444,0.967213114754098,122,0.0657894736842105,0.290076335877863,0.791666666666667,122,-300.60893955764,3
56780a5a89319e0011644cb4,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56780a5a89319e0011644cb4_T1_2024-05-18_13h28.25.633.csv,0.729716191463034,0.8,0.214112881929498,1,1,0,0.496891064142175,2,35.3238159312448,4,4,0.348373088638239,0.5,0.291081021007729,0.5,0.256161462398359,0.2,1,0.720447007749601,0.640599536538876,0.811111111111111,0.777777777777778,9,0.0423280423280423,0.611764705882353,0.6,9,-203.454476806384,3
567dd32b4f0ef30006dbb718,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_567dd32b4f0ef30006dbb718_T1_2024-05-08_18h14.49.126.csv,0.906922489915095,0.8,1.00272015615076,1,1,0,1.62151383788653,2,10.5260926970536,4,4,0.0344795372929065,0.5,0.20910496091917,0.5,0.289996677946398,0.2,1,0.627762388969383,0.902695499892709,0.733333333333333,0.968152866242038,157,0.00790513833992095,0.283018867924528,0.741935483870968,157,-286.923534981582,3
5685850c333cbd000d4e042f,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5685850c333cbd000d4e042f_T2_2024-06-12_11h23.31.372.csv,0.888833421358035,0.8,1.76331121857837,1,1,0,0.788600200424499,2,7.58328872432782,4,4,0.0544920174707435,0.5,0.204987663528791,0.5,0.48760064334276,0.2,1,0.713389402816317,0.924254194257836,0.808333333333333,0.966386554621849,119,0.0493827160493827,0.508620689655172,0.68,119,-223.161456765574,3
568d0641b5a2c2000cb657d0,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_568d0641b5a2c2000cb657d0_T2_2024-07-30_10h18.26.647.csv,0.940613332193603,0.8,1.16450677928026,1,1,0,1.0838752867549,2,10.281444631542,4,4,0.0168938258780098,0.5,0.140854731490971,0.5,0.342279121161503,0.2,1,0.617530152345182,0.868944484398967,0.736111111111111,0.954545454545455,198,0.0493827160493827,0.241379310344828,0.595238095238095,198,-319.478715328756,3
5694e7b5e0c800000b5a3841,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_5694e7b5e0c800000b5a3841_T1_2024-05-18_15h29.08.146.csv,0.888771920267629,0.8,1.72169795562128,1,1,0,1.36450132932066,2,9.34118056866285,4,4,0.0384930988281087,0.5,0.126248801769435,0.5,0.397937779147101,0.2,1,0.746114313978688,0.932884534758423,0.827777777777778,0.98780487804878,164,0.00869565217391304,0.48062015503876,0.756756756756757,164,-211.2428926343,3
56b72c28f2fc70000c32fb37,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56b72c28f2fc70000c32fb37_T1_2024-05-18_23h22.33.370.csv,0.962247319404342,0.8,1.18706793178461,1,1,0,0.782935113398262,2,10.7868746398832,4,4,0.0340453424118909,0.5,0.167733960480804,0.5,0.542183386697728,0.2,1,0.625212189579505,0.839881799946683,0.758333333333333,0.91705069124424,217,0,0.3,0.888888888888889,217,-325.722735944871,3
56e225c2ec0fdd000641e72d,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56e225c2ec0fdd000641e72d_T2_2024-06-20_23h23.44.100.csv,0.870014271262869,0.8,0.455531381168392,1,1,0,1.04873069107543,2,6.26052294100259,4,4,0.531981105699634,0.5,0.621142918525536,0.5,0.320163521121835,0.2,1,0.519195113392326,0.629358420876951,0.602777777777778,0.724137931034483,87,0.0737327188940092,0.197183098591549,0.272727272727273,87,-354.508376014465,3
56e8bf5a870a8e000b4a8d6e,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56e8bf5a870a8e000b4a8d6e_T1_2024-04-04_13h13.34.155.csv,0.925400078125571,0.8,1.04234905199321,1,1,0,1.2867853311938,2,4.131845421916,4,4,0.220223483276783,0.5,0.137588857579824,0.5,0.0512098101920788,0.2,1,0.523804090438279,0.841670181537295,0.619444444444444,0.902597402597403,154,0.00458715596330275,0.276595744680851,0.695652173913043,154,-343.891687504987,3
56ec9fa4f9ffc4000ac1941b,0,/media/labs/NPC/DataSink/StimTool_Online/WB_Advice/active_trust_56ec9fa4f9ffc4000ac1941b_T2_2024-06-20_16h41.00.309.csv,0.940851876853474,0.8,1.56485668082119,1,1,0,0.948595469478682,2,9.81485215560725,4,4,0.0192319678893702,0.5,0.175723692804397,0.5,0.474121412071714,0.2,1,0.728709134848011,0.921265570001842,0.822222222222222,0.953667953667954,259,0.00387596899224806,0.108910891089109,0.767857142857143,259,-246.342101518888,3
