subject,model_1_connected,model_1_disconnected,model_2_connected,model_2_disconnected,model_3_connected,model_3_disconnected,model_4_connected,model_4_disconnected,model_5_connected,model_5_disconnected,model_6_connected,model_6_disconnected,model_7_connected,model_7_disconnected,model_8_connected,model_8_disconnected,model_9_connected,model_9_disconnected,model_10_connected,model_10_disconnected,idx_1,idx_2,idx_3,idx_4,idx_5,idx_6,idx_7,idx_8,idx_9,idx_10
565bff58c121fe0005fc390d,-450.785921840544,-450.826180082942,-450.547625158479,-450.581183643826,-450.57543005562,-450.597354592291,-450.10440215044,-450.111509847298,-423.566097303029,-423.477298750483,-346.118933044006,-344.178854003445,-450.549538706066,-450.58226738768,-450.549655672505,-450.582392636323,-450.546523858396,-450.580003298548,-450.575853426846,-450.596915815583,-389.260383,-353.846474,-332.60922,-335.019612,-336.82556,-283.648066,-348.533156,-347.449712,-349.948931,-329.431764
56780a5a89319e0011644cb4,-403.492003572389,-403.470715707259,-403.499940649024,-403.478773792495,-403.457439967184,-403.43826421762,-403.498965478376,-403.47885533319,-255.511964330947,-255.626542150085,-403.497518423569,-403.477405436434,-403.499772199816,-403.478682231056,-403.49981895564,-403.478731363311,-403.500037344535,-403.478881312299,-403.441975899501,-403.422864556005,-267.532451,-246.922217,-243.440908,-243.72954,-187.85534,-243.763131,-240.01415,-240.001468,-246.948292,-239.48031
567dd32b4f0ef30006dbb718,-463.14001437253,-463.064463407474,-463.10843367743,-463.039143873638,-462.19571429954,-462.255165649363,-463.299982848241,-463.258630115958,-439.295060996393,-439.28930989825,-325.4160026784,-319.532023309001,-463.069004769345,-463.005492110142,-463.077982462019,-463.013220641972,-463.076844060345,-463.011845994802,-462.200803290846,-462.251927651814,-385.091025,-353.33813,-326.429003,-327.845713,-323.973161,-317.657205,-349.514911,-349.663872,-352.113699,-324.231593
5685850c333cbd000d4e042f,-457.006284808941,-456.863735421328,-457.021500181753,-456.879151061035,-456.796845969369,-456.667405691715,-457.291564562259,-457.150463799909,-409.861208020436,-409.850915999478,-344.033657543821,-343.915450455852,-457.015382873594,-456.87371457528,-457.016598551508,-456.874691608435,-457.016592096177,-456.874621519913,-456.780649439649,-456.654791230148,-301.050702,-297.226817,-297.189212,-290.144867,-278.727893,-280.005443,-298.965941,-296.540856,-298.747481,-297.256199
568d0641b5a2c2000cb657d0,-511.700525740807,-511.581148862934,-511.715582770866,-511.596895496106,-511.644735040101,-511.53225156884,-512.071958568995,-511.954767733391,-509.122052413066,-509.033069600664,-403.650168230331,-400.598909043704,-511.705637987435,-511.587110129007,-511.707726558946,-511.589015261245,-511.707642690317,-511.58934874862,-511.630609450294,-511.519576979246,-418.809425,-406.179949,-349.182933,-351.827807,-346.703731,-341.100596,-376.812143,-375.780404,-376.423049,-341.579214
5694e7b5e0c800000b5a3841,-509.697088973227,-509.569585838471,-509.709041753879,-509.581558466271,-509.6892778565,-509.563127986721,-509.622543156165,-509.494069448361,-477.36114206673,-477.316919037328,-367.769676119029,-368.873093228802,-509.703726108765,-509.577718337728,-509.704866074527,-509.578585784301,-509.704736792285,-509.578292148903,-509.686668995737,-509.561062013951,-343.249652,-348.004052,-292.835277,-296.996814,-286.257099,-218.022017,-338.648911,-352.461727,-336.734165,-300.134733
56b72c28f2fc70000c32fb37,-537.384524200764,-536.89019409806,-537.381446939601,-536.882856513653,-537.018494936309,-536.54682116496,-537.094101459764,-536.602331252091,-528.296106401847,-528.099329705135,-398.267886679934,-398.651890821187,-537.380218109427,-536.88147971587,-537.380234641257,-536.882013409836,-537.380086042902,-536.877458988458,-537.01505176804,-536.548030043369,-464.311692,-431.24247,-321.96649,-320.966803,-314.449142,-325.638425,-401.821851,-398.134704,-401.792876,-318.017794
56e225c2ec0fdd000641e72d,-395.922056302782,-396.018926895486,-395.924727325803,-396.026441672532,-396.074896543015,-396.198608749622,-395.862107143351,-395.929897705475,-377.731480606509,-377.818592909773,-392.648370257349,-392.819707954912,-395.928279412833,-396.025977123922,-395.9283228859,-396.026007294662,-395.924761173631,-396.026470273835,-396.076684698573,-396.198836724983,-389.704225,-333.349732,-334.138105,-330.763336,-331.599008,-330.463958,-338.260072,-338.230254,-335.937372,-338.677686
56e8bf5a870a8e000b4a8d6e,-475.788942133462,-475.504052857784,-475.809947444916,-475.523702031977,-475.626297678298,-475.384727080882,-471.473223182969,-471.212137142159,-438.841440104564,-438.878605195718,-441.832303490541,-439.859004195408,-475.791190658763,-475.51017003009,-475.79527004529,-475.513255728057,-475.795097201718,-475.511612478711,-475.407667130661,-475.362744433799,-432.690755,-391.243067,-365.011109,-350.253954,-333.757469,-349.968477,-377.400886,-373.445092,-379.415227,-356.225167
56ec9fa4f9ffc4000ac1941b,-556.876435386459,-556.622293999584,-556.895420509868,-556.640625510316,-556.708173999854,-556.530566121391,-556.866205441067,-556.631819668561,-556.870428144871,-556.60681608315,-291.821239569172,-290.566120103313,-556.884914468172,-556.633375189298,-556.887123091899,-556.634818278342,-556.887046861702,-556.634302329787,-556.690482251691,-556.520074386106,-480.967165,-431.236522,-252.106052,-255.521149,-257.464911,-251.885988,-420.889123,-417.150242,-420.602802,-250.485311
